A R S Sport Strip - Belle Plaine, MN
North Shore Airport - Umnak Island, AK
North Vernon Airport - North Vernon, IN
North Windham - Londonderry, VT
Northampton - Northampton, MA
Northeast Cape Air Force Station - Northeast Cape, AK
Northern Airport - Tullahoma, TN
Northome Municipal - Northome, MN
Northumberland Co - Shamokin, PA
Northway Airport - Northway, AK
Northwest Arkansas Regional Airport - Bentonville, AR
Northwest Florida Beaches International Airport - Panama City, FL
Northwest Florida Regional Airport - Fort Walton Beach, FL
Northwest Regional - Roanoke, TX
Northwood Mun-Vince - Northwood, ND
Northwood Municipal - Northwood, IA
Norton Air Force Base - San Bernardino, CA
Norton Municipal - Norton, KS
Norwalk Heliport - Norwalk, CT
Norwalk Huron County Airport - Norwalk, OH
Norwich - Norwich, KS
Norwood Memorial Airport - Norwood, MA
Novato Airport - Novato, CA
Nowata Municipal - Nowata, OK
Nueces Co - Robstown, TX
Nuiqsut Airport - Nuiqsut, AK
Nulato Airport - Nulato, AK
Nunapitchuk Airport - Nunapitchuk, AK
Nut Tree - Vacaville, CA
Nyac Airport - Nyac, AK
O'Hare International Airport - Chicago, IL
O'Neill Municipal Airport - O'Neill, NE
O'Sullivan Army Heliport - San Luis Obispo, CA
Oak Harbor Airport - Oak Harbor, WA
Oakdale - Oakdale, CA
Oakes Municipal - Oakes, ND
Oakland/Coliseum Station - Oakland, MD
Oakland/Troy - Troy, MI
Oakley Municipal - Oakley, ID
Oakley Municipal - Oakley, KS
Oakridge State - Oakridge, OR
Oberlin Municipal - Oberlin, KS
Obie - Chinook, MT
Ocean City Municipal - Ocean City, NJ
Ocean City Municipal Airport - Ocean City, MD
Ocean Isle - Ocean Isle Beach, NC
Ocean Reef Airport - Ocean Reef, FL
Ocean Reef Club - Key Largo, FL
Ocean Ridge - Gualala, CA
Ocean Shores Municipal - Ocean Shores, WA
Ocean Springs - Ocean Springs, MS
Oceana Co - Hart/Shelby, MI
Oceanic Airport - Oceanic, AK
Oceano Co - Oceano, CA
Oceanside Municipal Airport - Oceanside, CA
Oconee County Airport - Clemson, SC
Oconto Municipal - Oconto, WI
Ocotillo - Ocotillo Wells, CA
Ocracoke I - Ocracoke, NC
Odessa Municipal - Odessa, WA
Odessa-Schlemeyer - Odessa, TX
Oelwein Municipal - Oelwein, IA
Offutt Air Force Base - Omaha, NE
Ogden Municipal Airport - Ogden, UT
Ogdensburg Airport - Ogdensburg, NY
Ohio Co - Hartford, KY
Ohio County Airport - Wheeling, WV
Ohio Dusting Co Inc - Pandora, OH
Ohio State University Airport - Columbus, OH
Ohio University Airport - Athens, OH
Ojibwa - Weidman, MI
Okanogan Legion - Okanogan, WA
Okeechobee County Airport - Okeechobee, FL
Okeene Municipal - Okeene, OK
Okemah - Okemah, OK
Oklahoma City Downtown Airpark - Oklahoma City, OK
Okmulgee Airport - Okmulgee, OK
Okolona Mun-Stovall - Okolona, MS
Oktibbeha - Starkville, MS
Olcott-Newfane - Olcott, NY
Old Bridge - Old Bridge, NJ
Old Harbor Sea Plane Base - Old Harbor, AK
Old Hoppe Place - Agua Dulce, TX
Old Mans - Pedrictown, NJ
Old Sawyer International - Marquette, MI
Old Town Airport - Old Town, ME
Oldham Co - Vega, TX
Olean Municipal Airport - Olean, NY
Olf Usn Airport - Whitehouse, FL
Olga Bay Sea Plane Base - Olga Bay, AK
Oliktok Lrrs - Oliktok Point, AK
Olive Branch Airport - Olive Branch, MS
Olive Hill-Seller'S - Olive Hill, KY
Olivia Regional - Olivia, MN
Olla - Olla, LA
Olney Airport - Olney, IL
Olney Airport - Olney, TX
Olustee Municipal - Olustee, OK
Olympia Airport - Olympia, WA
Omak Municipal Airport - Omak, WA
Ona - Milton, WV
Oneal Airport - Vincennes, IN
Oneida County Airport - Rhinelander, WI
Oneida County Airport - Utica, NY
Oneonta Municipal Airport - Oneonta, NY
Onida Municipal - Onida, SD
Onion Bay Airport - Onion Bay, AK
Ontario Airport - Ontario, OR
Ontario International Heliport - Ontario, CA
Ontonagon Co - Ontonagon, MI
Opa Locka - Miami, FL
Opa Locka West Airport - Miami, FL
Opheim - Opheim, MT
Orange City Municipal - Orange City, IA
Orange Co - Orange, TX
Orange Co - Orange, VA
Orange County Airport - Montgomery, NY
Orange Grove Nalf - Orange Grove, TX
Orange Municipal - Orange, MA
Orangeburg Municipal Airport - Orangeburg, SC
Orcas Island Airport - Eastsound, WA
Orchard Park Airport - Orchard Park, NY
Orlando Country - Plymouth, FL
Orlando Executive Airport - Orlando, FL
Orlando International Airport - Orlando, FL
Orlando Sanford International Airport - Orlando, FL
Orleans - Orleans, IN
Ormond Beach Municipal - Ormond Beach, FL
Orofino Municipal - Orofino, ID
Orogrande - Orogrande, ID
Oroville Airport - Oroville, CA
Orr Regional - Orr, MN
Ortonville Mun-Martinson - Ortonville, MN
Osage City Municipal - Osage City, KS
Osage Municipal - Osage, IA
Osceola Municipal - Osceola, AR
Osceola Municipal - Osceola, IA
Osceola Municipal - Osceola, MO
Osceola Municipal Airport - Osceola, WI
Oscoda Co - Mio, MI
Oshkosh Airport - Oshkosh, NE
Oskaloosa Municipal Airport - Oskaloosa, IA
Oswego Co - Fulton, NY
Othello Municipal - Othello, WA
Otis Air Force Base - Falmouth, MA
Otsego County Airport - Gaylord, MI
Ottawa Executive - Zeeland, MI
Ottawa Municipal - Ottawa, KS
Outagamie County Airport - Appleton, WI
Outlaw Field - Clarksville, TN
Ouzinkie Sea Plane Base - Ouzinkie, AK
Ovid - Ovid, NY
Owatonna Airport - Owatonna, MN
Owen - Seymour, MO
Owens Field - Columbia, SC
Owosso Community - Owosso, MI
Owyhee - Owyhee, NV
Owyhee Reservoir State - Owyhee, OR
Oxford - Oxford, MA
Oxford Co Regional - Oxford, ME
Oxford Municipal - Oxford, KS
Oxnard Airport - Oxnard, CA
Oyster Cove - Homer, AK
Ozark-Franklin Co - Ozark, AR
Ozona Airport - Ozona, TX
P K Airpark - Raeford, NC
Pack Creek Airport - Pack Creek, AK
Packer - Radnor, OH
Packwood - Packwood, WA
Padgham - Allegan, MI
Paf Cannery - South Naknek, AK
Paf Warren Airport - Paf Warren, AK
Page Airport - Page, AZ
Page Field - Fort Myers, FL
Page Municipal - Oklahoma City, OK
Pageland - Pageland, SC
Paimiut Sea Plane Base - Paimiut, AK
Painter Creek Airport - Painter Creek, AK
Paintsville-Prestonsburg-Combs - Paintsville, KY
Paisley State - Paisley, OR
Pal-Waukee Airport - Chicago, IL
Palacios Airport - Palacios, TX
Palestine Airport - Palestine, TX
Palm Beach County Airport - West Palm Beach, FL
Palm Beach County Glades Airport - Pahokee, FL
Palm Springs Municipal Airport - Palm Springs, CA
Palmdale Air Force 42 Base - Palmdale, CA
Palmer - Ponder, TX
Palmer Metropolitan Airport - Palmer, MA
Palmer Municipal Airport - Palmer, AK
Palmyra Municipal - Palmyra, WI
Palo Alto Airport of Santa Clara County - Palo Alto, CA
Palo Duro - Amarillo, TX
Pam'S Place - Eminence, IN
Pangborn Field - Wenatchee, WA
Panguitch Airport - Panguitch, UT
Panhandle-Carson Co - Panhandle, TX
Panola Co - Batesville, MS
Panola Co-Sharpe - Carthage, TX
Paoli Municipal - Paoli, IN
Papago Air Force Base - Phoenix, AZ
Paradise Skypark - Paradise, CA
Paragould Municipal Airport - Paragould, AZ
Paris Municipal - Paris/Subiaco, AR
Park Falls Airport - Park Falls, WI
Park Rapids Airport - Park Rapids, MN
Park River-Skjerven - Park River, ND
Park Township Airport - Holland, MI
Parker Carson - Carson City, NV
Parker County Airport - Weatherford, TX
Parks Sea Plane Base - Parks, AK
Parkston Municipal - Parkston, SD
Parlin Field Airport - Newport, NH
Parma - Parma, ID
Parowan - Parowan, UT
Parr - Zanesville, OH
Parshall-Hankins - Parshall, ND
Parsons - Carrollton, OH
Pasadena Heliport - Pasadena, CA
Paso Robles Airport - Paso Robles, CA
Patrick Air Force Base - Cocoa, FL
Patterson Air Force Base - Dayton, OH
Patterson Municipal Heliport - Patterson, LA
Patty - El Dorado, KS
Paullina Municipal - Paullina, IA
Pauloff Harbor Sea Plane Base - Pauloff Harbor, AK
Pauls Valley Municipal - Pauls Valley, OK
Pawhuska Municipal - Pawhuska, OK
Pawnee City Municipal - Pawnee City, NE
Pawnee Municipal - Pawnee, OK
Paxson - Paxson, AK
Paxton - Paxton, IL
Payette Municipal - Payette, ID
Payson Airport - Payson, AZ
Pbeaaye - Topinabee, MI
Peach Springs Airport - Peach Springs, AZ
Peach State - Williamson, GA
Peachtree City-Falcon - Atlanta, GA
Peachtree-Dekalb Airport - Atlanta, GA
Pearce Ferry - Meadview, AZ
Pearl River County Airport - Picayune, MS
Pearland Regional Airport - Houston, TX
Pearson Field - Vancouver, WA
Pease Air Force Base - Portsmouth, NH
Peconic River Airport - Calverton, NY
Pecos City Airport - Pecos City, TX
Pecos County Airport - Fort Stockton, TX
Pedro Bay Airport - Pedro Bay, AK
Pekin Municipal - Pekin, IL
Pelican Rapids Mun-Lyon'S - Pelican Rapids, MN
Pelican Sea Plane Base - Pelican, AK
Pella Municipal - Pella, IA
Pemberton Airport - Pemberton, NJ
Pembina Intermediate Airport - Pembina, ND
Pender Municipal - Pender, NE
Penn Valley Airport - Selinsgrove, PA
Penn Yan - Penn Yan, NY
Pennridge Airport - Perkasie, PA
Penns Cave - Centre Hall, PA
Pensacola International Airport - Pensacola, FL
Pentagon Army Airport - Washington, DC
Perham Municipal - Perham, MN
Perimeter Mall Heliport - Atlanta, GA
Perkins - Overton, NV
Perkins Memorial - Chambers, NE
Perkiomen Valley - Collegeville, PA
Perris Valley Airport - Perris, CA
Perry - Goldsby, OK
Perry Co - Linden, TN
Perry Co - New Lexington, OH
Perry Co Municipal - Tell City, IN
Perry Lefors Field - Pampa, TX
Perry Municipal - Perry, OK
Perry Municipal Airport - Perry, IA
Perry Sea Plane Base - Perry Island, AK
Perry-Foley Airport - Perry, FL
Perry-Houston Co - Perry, GA
Perry-Warsaw - Perry, NY
Perryton Ochiltree Co - Perryton, TX
Perryville Airport - Perryville, AK
Person County Airport - Roxboro, NC
Peru Municipal - Peru, IN
Petaluma Municipal - Petaluma, CA
Peter O'Knight Airport - Tampa, FL
Petersburg Municipal Airport - Petersburg, AK
Peterson - Plains, GA
Peterson's Point Airport - Peterson's Point, AK
Petit Jean Park Airport - Morrilton, AR
Phifer Field - Wheatland, WY
Philadelphia International Airport - Philadelphia, PA
Philadelphia Municipal - Philadelphia, MS
Philadelphia Rail Station - Philadelphia, PA
Philadelphia Sea Plane Base - Philadelphia, PA
Philip Billard Airport - Topeka, KS
Philippi/Barbour Co Regional - Philippi, WV
Phillip Airport - Philip, SD
Phillips Army Air Field - Aberdeen, MD
Phillips Field - Fairbanks, AK
Phillips Flying Ranch - Rockwall, TX
Phillipsburg - Phillipsburg, OH
Phillipsburg Municipal - Phillipsburg, KS
Phoenix Goodyear Airport - Goodyear, AZ
Phoenix Sky Harbor International Airport - Phoenix, AZ
Phoenix-Deer Valley Airport - Phoenix, AZ
Phoenix-Mesa Gateway Airport - Chandler, AZ
Phoenix-Mesa Gateway Airport - Mesa, AZ
Piatt Co - Monticello, IL
Picabo - Picabo, ID
Picayune Municipal - Picayune, MS
Pickaway Co Memorial - Circleville, OH
Pickens Airport - Pickens, SC
Pickens Co - Jasper, GA
Piedmont Municipal - Piedmont, MO
Piedmont Triad International Airport - Greensboro/High Point, NC
Pier 11-Wall St Sea Plane Base - New York, NY
Pierce Co-Thun - Puyallup, WA
Pierre Airport - Pierre, SD
Pierson Municipal - Pierson, FL
Piggott Municipal - Piggott, AR
Pike Co - Waverly, OH
Pike Co-Hatcher - Pikeville, KY
Pike County Airport - Mc Comb, MS
Pilot Country Airport - Brooksville, FL
Pilot Point Airport - Pilot Point, AK
Pilot Station Airport - Pilot Station, AK
Pinckneyville-Du Quoin - Pinckneyville, IL
Pine - Pine, ID
Pine Bluffs Municipal - Pine Bluffs, WY
Pine City Municipal - Pine City, MN
Pine Hill - Albion, NY
Pine Hill Municipal - Pine Hill, AL
Pine Island Airport - Duck, NC
Pine Mountain Lake - Groveland, CA
Pine Ridge Airport - Pine Ridge, SD
Pine River Regional - Pine River, MN
Pinehurst State - Pinehurst, OR
Pinehurst-S. Pines Airport - Southern Pines, NC
Pineland Municipal - Pineland, TX
Pineville Municipal - Pineville, LA
Piney Pinecreek Border Airport - Pinecreek, MN
Pink Hill - Pink Hill, NC
Pioneer Village - Minden, NE
Pipestone Municipal - Pipestone, MN
Piqua - Piqua, OH
Piso - Suring, WI
Pitt-Greenville Airport - Greenville, NC
Pittman Memorial - Tylertown, MS
Pittsburg Municipal Airport - Pittsburg, KS
Pittsburgh International Airport - Pittsburgh, PA
Pittsburgh-Monroeville - Monroeville, PA
Pittsfield Airport - Pittsfield, MA
Pittsfield Municipal - Pittsfield, ME
Pittsfield Penstone Municipal - Pittsfield, IL
Placerville Airport - Placerville, CA
Plains - Plains, MT
Plainville - Plainville, KS
Plainwell Municipal - Plainwell, MI
Plant City Municipal Airport - Plant City, FL
Plantation - Sylvania, GA
Plateau Sky Ranch - Edinburg, NY
Platinum Airport - Platinum, AK
Platte Municipal - Platte, SD
Platte Valley - Hudson, CO
Platteville Municipal - Platteville, WI
Plattsburg - Plattsburg, MO
Plattsburgh Air Force Base - Plattsburgh, NY
Plattsburgh International - Plattsburgh, NY
Plattsmouth Municipal - Plattsmouth, NE
Pleasant Harbor Airport - Pleasant Harbor, AK
Pleasanton Municipal - Pleasanton, TX
Plum Island - Newburyport, MA
Plymouth Airport - Plymouth, IN
Plymouth Airport - Plymouth, MA
Plymouth Municipal - Plymouth, NC
Plymouth Municipal - Plymouth, NH
Pocahontas Municipal Airport - Pocahontas, IA
Pocatello Airport - Pocatello, ID
Pogue Municipal - Sand Springs, OK
Point Baker Sea Plane Base - Point Baker, AK
Point Barrow Airport - Barrow, AK
Point Hope Airport - Point Hope, AK
Point Mc Intyre - Point Mc Intyre, AK
Point Mugu Naval Air Station - Port Hueneme, CA
Polacca Airport - Polacca, AZ
Polk Army Air Field - Fort Polk, LA
Polk Inlet Airport - Polk Inlet, AK
Pollock Municipal - Pollock, LA
Polson - Polson, MT
Pomona Lake - Lyndon, KS
Pompano Beach Airport - Pompano Beach, FL
Ponca City Regional Airport - Ponca City, OK
Pond Creek Municipal - Pond Creek, OK
Pontiac Airport - Pontiac, MI
Pontiac Municipal - Pontiac, IL
Pontotoc Co - Pontotoc, MS
Pool/Weaverville - Weaverville, CA
Pope Field - Fayetteville, NC
Pope Field - Greenfield, IN
Pope Vanoy Airport - Pope Vanoy, AK
Poplar - Poplar, MT
Poplar Grove - Poplar Grove, IL
Poplarville-Pearl River Co - Poplarville, MS
Porcupine Creek Airport - Porcupine Creek, AK
Port Alexander Airport - Port Alexander, AK
Port Alice Airport - Port Alice, AK
Port Allen Airport - Hanapepe, HI
Port Alsworth Airport - Port Alsworth, AK
Port Angeles Cgas - Port Angeles, WA
Port Armstrong Airport - Port Armstrong, AK
Port Authority-West 30Th St. Midtown. (Hel - New York, NY
Port Bailey Sea Plane Base - Port Bailey, AK
Port Bucyrus-Crawford Co - Bucyrus, OH
Port Clarence Airport - Port Clarence, AK
Port Columbus International Airport - Columbus, OH
Port Frederick Airport - Port Frederick, AK
Port Graham Airport - Port Graham, AK
Port Heiden Airport - Port Heiden, AK
Port Isabel-Cameron Co - Port Isabel, TX
Port Johnson Airport - Port Johnson, AK
Port Largo Airport - Key Largo, FL
Port Lions Sea Plane Base - Port Lions, AK
Port Moller Air Force Station - Port Moller, AK
Port Oceanic Airport - Port Oceanic, AK
Port Of Ilwaco - Ilwaco, WA
Port Protection Airport - Port Protection, AK
Port San Juan Airport - Port San Juan, AK
Port Townsend Airport - Port Townsend, WA
Port Walter Airport - Port Walter, AK
Port Williams Sea Plane Base - Port Williams, AK
Portage Co - Ravenna, OH
Portage Creek Airport - Portage Creek, AK
Portage Municipal - Portage, WI
Portales Municipal - Portales, NM
Porter County Airport - Valparaiso, IN
Porterville Airport - Porterville, CA
Porthill Eckhart International - Porthill, ID
Portland Hillsboro Airport - Hillsboro, OR
Portland International Airport - Portland, OR
Portland International Jetport - Portland, ME
Portland Municipal - Portland, IN
Portland Municipal - Portland, TN
Portland-Mulino - Portland, OR
Portsmouth Regional Airport - Portsmouth, OH
Posey - Haleyville, AL
Poso-Kern Co - Famoso, CA
Possum Kingdom - Graford, TX
Post Aaf - Ft Sill, OK
Post Air Airport - Indianapolis, IN
Post Mills - Post Mills, VT
Post-Garza Co Municipal - Post, TX
Potoczak - Clarence Center, NY
Potomac - Berkeley Springs, WV
Potomac Airfield - Friendly, MD
Potsdam Municipal - Potsdam, NY
Pottstown Municipal - Pottstown, PA
Pottstown/Limerick Airport - Pottstown, PA
Poulsbo Airport - Poulsbo, WA
Pounds Field - Tyler, TX
Powell - Danville, KY
Powell - Knoxville, TN
Powell/Lovell Airport - Powell/Lovell, WY
Powers State - Powers, OR
Prague Municipal - Prague, OK
Prairie Du Chien Municipal Airport - Prairie Du Chien, WI
Prairie Ronde - Schoolcraft, MI
Pratt Airport - Pratt, KS
Pratt'S Eastern Divide - Sherman, NY
Prentice Airport - Prentice, WI
Prentiss-Jefferson Davis Co - Prentiss, MS
Prescott Airport - Prescott, AZ
Presho Municipal - Presho, SD
Presidio Lely International - Presidio, TX
Presque Isle Co - Rogers City, MI
Presque Isle Municipal Airport - Presque Isle, ME
Preston - Preston, ID
Preston-Glenn Field - Lynchburg, VA
Price Co - Phillips, WI
Price Ranch - Mt Dora, NM
Prices - Linden, MI
Prichard - Enterprise, KS
Prickett-Grooms - Sidnaw, MI
Priebe - Findlay, OH
Priest Lake Usfs - Nordman, ID
Priest River Municipal - Priest River, ID
Primghar - Primghar, IA
Prince - Milton, FL
Princeton Airport - Princeton, ME
Princeton Airport - Princeton, NJ
Princeton Municipal - Princeton, MN
Princeton-Caldwell Co - Princeton, KY
Princeton-Kauffman Memorial - Princeton, MO
Princeville Airport - Kauai Island, HI
Prineville Airport - Prineville, OR
Pronger Bros Ranch - Stratford, TX
Prospect Creek Airport - Prospect Creek, AK
Prospect State - Prospect, OR
Prosser - Prosser, WA
Providence-Webster Co - Providence, KY
Provincetown Airport - Provincetown, MA
Provo Airport - Provo, UT
Pru - Ritzville, WA
Prudhoe Bay Airport - Prudhoe Bay, AK
Prudhoe Bay/Deadhorse Airport - Prudhoe Bay/Deadhorse, AK
Pruetz Municipal - Kulm, ND
Puckett - Eagleville, TN
Pueblo Memorial Airport - Pueblo, CO
Pueblo Pintado - Pueblo Pintado, NM
Pulaski County Airport - Somerset, KY
Punxsutawney Municipal - Punxsutawney, PA
Purcell Municipal - Purcell, OK
Purdue University Airport - Lafayette, IN
Purkeypile - Purkeypile, AK
Put-In-Bay Airport - Put-In-Bay, OH
Putnam Co - Greencastle, IN
Putnam Co - Ottawa, OH
Pyor Airport - Decatur, AL
Quad-City Airport - Moline, IL
Quail Creek - Quail Creek, AK
Quanah Municipal - Quanah, TX
Quantico Naval Air Station - Quantico, VA
Quart Creek Airport - Cooper Lodge, AK
Quartz Creek Kougarok - Quartz Creek, AK
Quartz Hill Airport - Lancaster, CA
Queen Airport - Queen, AK
Questa Mun Nr 2 - Questa, NM
Quillayute State Airport - Quillayute, WA
Quincy Airport - Quincy, MA
Quincy Municipal - Quincy, FL
Quincy Municipal - Quincy, WA
Quincy Municipal Airport - Quincy, IL
Quinn - Gothenburg, NE
Quitman-Brooks Co - Quitman, GA
Quonset State - North Kingstown, RI
R & K Skyranch - Rochester, WA
Raether - Howell, MI
Rainbow Air Village - Dearborn, MO
Rainy Pass - Rainy Pass, AK
Raleigh Airport - Harrisburg, IL
Raleigh East Airport - Knightdale, NC
Raleigh Exec Jetport at Sanford-Lee County - Sanford, NC
Raleigh-Durham International Airport - Raleigh/Durham, NC
Ralph Calhoun Airport - Tanana, AK
Ralph Wenz Field - Pinedale, WY
